date,bitcoin,btc
2017-05-11 02:08:00,78,2
2017-05-11 02:16:00,52,2
2017-05-11 02:24:00,70,5
2017-05-11 02:32:00,32,2
2017-05-11 02:40:00,71,5
2017-05-11 02:48:00,49,0
2017-05-11 02:56:00,57,0
2017-05-11 03:04:00,45,3
2017-05-11 03:12:00,53,3
2017-05-11 03:20:00,68,5
2017-05-11 03:28:00,53,5
2017-05-11 03:36:00,61,5
2017-05-11 03:44:00,36,0
2017-05-11 03:52:00,51,0
2017-05-11 04:00:00,44,5
2017-05-11 04:08:00,79,3
2017-05-11 04:16:00,79,3
2017-05-11 04:24:00,66,5
2017-05-11 04:32:00,76,10
2017-05-11 04:40:00,68,0
2017-05-11 04:48:00,47,5
2017-05-11 04:56:00,82,5
2017-05-11 05:04:00,66,7
2017-05-11 05:12:00,63,2
2017-05-11 05:20:00,79,12
2017-05-11 05:28:00,50,14
2017-05-11 05:36:00,65,9
2017-05-11 05:44:00,44,2
2017-05-11 05:52:00,66,5
2017-05-11 06:00:00,80,4
2017-05-11 06:08:00,66,7
2017-05-11 06:16:00,80,4
2017-05-11 06:24:00,54,2
2017-05-11 06:32:00,64,2
2017-05-11 06:40:00,59,15
2017-05-11 06:48:00,63,4
2017-05-11 06:56:00,74,6
2017-05-11 07:04:00,65,12
2017-05-11 07:12:00,64,10
2017-05-11 07:20:00,68,8
2017-05-11 07:28:00,60,4
2017-05-11 07:36:00,68,4
2017-05-11 07:44:00,73,0
2017-05-11 07:52:00,47,4
2017-05-11 08:00:00,43,2
2017-05-11 08:08:00,78,6
2017-05-11 08:16:00,52,13
2017-05-11 08:24:00,65,6
2017-05-11 08:32:00,69,0
2017-05-11 08:40:00,76,8
2017-05-11 08:48:00,59,2
2017-05-11 08:56:00,57,6
2017-05-11 09:04:00,73,2
2017-05-11 09:12:00,57,2
2017-05-11 09:20:00,74,7
2017-05-11 09:28:00,70,9
2017-05-11 09:36:00,67,9
2017-05-11 09:44:00,69,4
2017-05-11 09:52:00,40,7
2017-05-11 10:00:00,57,4
2017-05-11 10:08:00,54,0
2017-05-11 10:16:00,66,0
2017-05-11 10:24:00,55,2
2017-05-11 10:32:00,33,2
2017-05-11 10:40:00,60,3
2017-05-11 10:48:00,66,0
2017-05-11 10:56:00,68,2
2017-05-11 11:04:00,67,10
2017-05-11 11:12:00,62,0
2017-05-11 11:20:00,64,6
2017-05-11 11:28:00,52,2
2017-05-11 11:36:00,55,3
2017-05-11 11:44:00,61,3
2017-05-11 11:52:00,62,0
2017-05-11 12:00:00,65,5
2017-05-11 12:08:00,76,7
2017-05-11 12:16:00,56,9
2017-05-11 12:24:00,54,4
2017-05-11 12:32:00,60,6
2017-05-11 12:40:00,61,3
