date,ripple,xrp
2018-02-15 01:44:00,54,18
2018-02-15 01:52:00,36,0
2018-02-15 02:00:00,24,24
2018-02-15 02:08:00,49,18
2018-02-15 02:16:00,55,30
2018-02-15 02:24:00,74,6
2018-02-15 02:32:00,49,6
2018-02-15 02:40:00,68,12
2018-02-15 02:48:00,68,19
2018-02-15 02:56:00,31,12
2018-02-15 03:04:00,50,13
2018-02-15 03:12:00,50,25
2018-02-15 03:20:00,63,13
2018-02-15 03:28:00,57,32
2018-02-15 03:36:00,57,6
2018-02-15 03:44:00,64,19
2018-02-15 03:52:00,78,13
2018-02-15 04:00:00,26,13
2018-02-15 04:08:00,66,13
2018-02-15 04:16:00,86,20
2018-02-15 04:24:00,60,27
2018-02-15 04:32:00,79,20
2018-02-15 04:40:00,73,20
2018-02-15 04:48:00,53,7
2018-02-15 04:56:00,53,13
2018-02-15 05:04:00,40,13
2018-02-15 05:12:00,40,13
2018-02-15 05:20:00,66,20
2018-02-15 05:28:00,65,26
2018-02-15 05:36:00,45,6
2018-02-15 05:44:00,32,13
2018-02-15 05:52:00,76,38
2018-02-15 06:00:00,56,12
2018-02-15 06:08:00,92,12
2018-02-15 06:16:00,60,12
2018-02-15 06:24:00,66,30
2018-02-15 06:32:00,53,12
2018-02-15 06:40:00,53,12
2018-02-15 06:48:00,76,17
2018-02-15 06:56:00,40,17
2018-02-15 07:04:00,34,0
2018-02-15 07:12:00,39,11
2018-02-15 07:20:00,33,5
2018-02-15 07:28:00,70,16
2018-02-15 07:36:00,43,11
2018-02-15 07:44:00,37,21
2018-02-15 07:52:00,42,5
2018-02-15 08:00:00,71,0
2018-02-15 08:08:00,50,15
2018-02-15 08:16:00,65,0
2018-02-15 08:24:00,80,0
2018-02-15 08:32:00,54,15
2018-02-15 08:40:00,59,10
2018-02-15 08:48:00,39,29
2018-02-15 08:56:00,34,5
2018-02-15 09:04:00,48,19
2018-02-15 09:12:00,47,14
2018-02-15 09:20:00,80,23
2018-02-15 09:28:00,47,14
2018-02-15 09:36:00,64,0
2018-02-15 09:44:00,78,5
2018-02-15 09:52:00,37,27
2018-02-15 10:00:00,55,5
2018-02-15 10:08:00,77,0
2018-02-15 10:16:00,31,9
2018-02-15 10:24:00,49,13
2018-02-15 10:32:00,53,9
2018-02-15 10:40:00,47,13
2018-02-15 10:48:00,56,0
2018-02-15 10:56:00,30,9
2018-02-15 11:04:00,65,17
2018-02-15 11:12:00,30,13
2018-02-15 11:20:00,63,13
2018-02-15 11:28:00,59,8
2018-02-15 11:36:00,71,0
2018-02-15 11:44:00,74,20
2018-02-15 11:52:00,53,12
2018-02-15 12:00:00,73,20
2018-02-15 12:08:00,44,8
2018-02-15 12:16:00,71,12
2018-02-15 12:24:00,66,12
2018-02-15 12:32:00,57,15
2018-02-15 12:40:00,45,15
2018-02-15 12:48:00,45,11
2018-02-15 12:56:00,48,18
2018-02-15 13:04:00,36,11
2018-02-15 13:12:00,54,25
2018-02-15 13:20:00,50,21
2018-02-15 13:28:00,53,7
2018-02-15 13:36:00,52,10
2018-02-15 13:44:00,48,14
2018-02-15 13:52:00,65,21
2018-02-15 14:00:00,51,10
2018-02-15 14:08:00,27,10
2018-02-15 14:16:00,37,7
2018-02-15 14:24:00,40,17
2018-02-15 14:32:00,57,13
2018-02-15 14:40:00,40,3
2018-02-15 14:48:00,40,17
2018-02-15 14:56:00,50,13
2018-02-15 15:04:00,56,13
2018-02-15 15:12:00,59,10
2018-02-15 15:20:00,49,20
2018-02-15 15:28:00,36,3
2018-02-15 15:36:00,33,16
2018-02-15 15:44:00,62,20
2018-02-15 15:52:00,49,23
2018-02-15 16:00:00,36,6
2018-02-15 16:08:00,33,7
2018-02-15 16:16:00,62,13
2018-02-15 16:24:00,45,6
2018-02-15 16:32:00,68,23
2018-02-15 16:40:00,52,13
2018-02-15 16:48:00,46,23
2018-02-15 16:56:00,60,26
2018-02-15 17:04:00,47,13
2018-02-15 17:12:00,53,27
2018-02-15 17:20:00,40,7
2018-02-15 17:28:00,64,20
2018-02-15 17:36:00,54,17
2018-02-15 17:44:00,85,7
2018-02-15 17:52:00,72,27
2018-02-15 18:00:00,62,14
2018-02-15 18:08:00,49,10
2018-02-15 18:16:00,70,24
2018-02-15 18:24:00,70,21
2018-02-15 18:32:00,63,11
2018-02-15 18:40:00,60,7
2018-02-15 18:48:00,60,4
2018-02-15 18:56:00,75,18
2018-02-15 19:04:00,18,22
2018-02-15 19:12:00,76,22
2018-02-15 19:20:00,48,15
2018-02-15 19:28:00,55,11
2018-02-15 19:36:00,51,11
2018-02-15 19:44:00,81,0
2018-02-15 19:52:00,67,11
2018-02-15 20:00:00,53,4
2018-02-15 20:08:00,50,19
2018-02-15 20:16:00,73,23
2018-02-15 20:24:00,54,19
2018-02-15 20:32:00,35,16
2018-02-15 20:40:00,51,8
2018-02-15 20:48:00,40,12
2018-02-15 20:56:00,49,20
2018-02-15 21:04:00,91,21
2018-02-15 21:12:00,63,17
2018-02-15 21:20:00,72,8
2018-02-15 21:28:00,17,9
2018-02-15 21:36:00,66,0
2018-02-15 21:44:00,71,27
2018-02-15 21:52:00,45,14
2018-02-15 22:00:00,65,14
2018-02-15 22:08:00,33,19
2018-02-15 22:16:00,67,14
2018-02-15 22:24:00,25,5
2018-02-15 22:32:00,100,0
2018-02-15 22:40:00,41,25
2018-02-15 22:48:00,67,21
2018-02-15 22:56:00,48,27
2018-02-15 23:04:00,38,27
2018-02-15 23:12:00,27,0
2018-02-15 23:20:00,77,17
2018-02-15 23:28:00,34,11
2018-02-15 23:36:00,63,11
2018-02-15 23:44:00,75,12
2018-02-15 23:52:00,52,12
2018-02-16 00:00:00,47,18
2018-02-16 00:00:00,56,21
2018-02-16 00:08:00,76,0
2018-02-16 00:16:00,56,14
2018-02-16 00:24:00,56,7
2018-02-16 00:32:00,57,0
2018-02-16 00:40:00,35,14
2018-02-16 00:48:00,49,14
2018-02-16 00:56:00,71,14
2018-02-16 01:04:00,42,7
2018-02-16 01:12:00,85,21
2018-02-16 01:20:00,85,7
2018-02-16 01:28:00,71,28
2018-02-16 01:36:00,28,35
2018-02-16 01:44:00,64,7
2018-02-16 01:52:00,57,35
