date,bitcoin,btc,etherium,etc,ripple,xrp,btcoin cash,bcc,eos.io,eos,litecoin,ltc,cardano,ada,str,iota,miota,tron,trx,tether usd,usd tether,usdt
2018-02-13 00:56:00,89,5,24,0,66,7,0,0,0,26,100,0,0,0,0,0,0,74,0,0,0,0
2018-02-13 01:04:00,83,7,0,48,33,0,0,0,0,0,60,0,0,0,0,0,0,0,25,0,0,0
2018-02-13 01:12:00,76,1,0,0,52,13,0,0,0,0,50,0,22,22,0,64,0,25,25,0,0,0
2018-02-13 01:20:00,80,4,0,0,92,7,0,30,0,26,70,0,0,0,0,32,0,0,0,0,0,0
2018-02-13 01:28:00,97,5,0,48,46,39,0,0,0,25,50,20,0,21,0,32,0,0,0,0,0,0
2018-02-13 01:36:00,83,2,24,24,39,13,0,0,25,25,10,0,0,0,23,32,0,24,49,0,0,0
2018-02-13 01:44:00,75,3,0,24,26,13,0,0,0,25,69,0,0,86,23,32,0,0,0,0,0,0
2018-02-13 01:52:00,78,10,24,24,52,20,0,0,0,0,60,10,0,21,0,64,0,25,0,0,0,89
2018-02-13 02:00:00,78,5,0,0,46,13,0,0,0,26,60,0,21,21,0,0,0,73,24,0,0,89
2018-02-13 02:08:00,75,3,0,0,59,26,0,0,0,26,40,0,0,21,0,32,0,0,0,0,0,0
2018-02-13 02:16:00,69,4,0,0,46,7,0,30,0,26,20,0,22,43,0,64,0,0,49,0,0,0
2018-02-13 02:24:00,87,1,0,25,100,33,0,0,0,26,30,0,0,66,0,0,0,0,25,0,0,0
2018-02-13 02:32:00,71,4,0,24,52,0,0,0,0,51,30,10,0,22,0,0,0,49,25,0,0,0
2018-02-13 02:40:00,66,3,24,0,65,20,0,0,0,0,0,0,21,21,0,0,0,0,0,0,0,0
2018-02-13 02:48:00,84,2,0,49,33,7,0,30,0,0,30,0,0,44,0,0,32,50,25,0,0,0
2018-02-13 02:56:00,77,2,0,25,47,13,0,0,0,0,41,10,44,22,0,0,0,25,25,0,0,0
2018-02-13 03:04:00,83,5,0,0,27,13,0,0,0,0,41,0,22,22,0,0,0,25,0,0,0,92
2018-02-13 03:12:00,72,2,0,25,87,20,0,0,0,0,82,0,0,22,0,33,0,25,50,0,0,92
2018-02-13 03:20:00,82,3,0,0,33,33,0,0,0,0,41,10,0,0,0,0,0,25,25,0,0,0
2018-02-13 03:28:00,87,3,0,75,61,14,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0
2018-02-13 03:36:00,85,5,0,0,27,7,0,0,0,26,21,0,0,0,24,0,0,0,0,0,0,0
2018-02-13 03:44:00,85,4,0,75,54,27,0,0,0,0,31,0,0,22,47,33,0,0,0,0,0,0
2018-02-13 03:52:00,74,5,0,0,69,41,0,0,0,0,53,0,23,0,24,0,0,26,0,0,0,0
2018-02-13 04:00:00,83,3,0,0,35,14,0,32,0,28,43,11,46,69,0,0,0,0,26,0,0,0
2018-02-13 04:08:00,90,5,26,26,28,28,0,0,0,0,54,0,0,70,0,35,0,27,27,0,0,0
2018-02-13 04:16:00,81,5,0,0,78,14,0,0,0,28,32,0,23,23,25,35,0,80,27,0,0,0
2018-02-13 04:24:00,90,11,0,0,43,7,0,0,0,28,55,0,0,71,0,0,0,27,0,0,0,0
2018-02-13 04:32:00,95,4,0,53,50,14,0,0,0,0,55,0,24,0,0,0,0,0,0,0,0,0
2018-02-13 04:40:00,86,7,0,27,29,29,0,0,0,28,33,0,0,48,0,0,0,81,0,0,0,0
2018-02-13 04:48:00,92,4,27,0,29,22,0,0,0,0,55,22,0,24,25,71,0,0,54,0,0,0
2018-02-13 04:56:00,93,5,0,0,58,22,0,0,0,0,44,11,24,0,0,36,0,27,0,0,0,100
2018-02-13 05:04:00,72,3,0,27,58,22,0,0,0,0,89,0,0,24,0,36,0,27,27,0,0,0
2018-02-13 05:12:00,71,6,0,0,65,36,0,0,0,0,66,11,48,48,50,35,0,27,55,0,0,0
2018-02-13 05:20:00,72,6,0,0,51,29,0,0,0,57,66,0,24,0,25,35,0,27,0,0,0,0
2018-02-13 05:28:00,82,3,0,26,57,22,0,0,0,28,22,11,0,24,25,0,0,0,54,0,0,0
2018-02-13 05:36:00,71,7,0,0,50,21,0,0,0,28,32,11,0,47,49,35,35,0,53,0,0,0
2018-02-13 05:44:00,84,6,0,0,77,0,0,0,0,0,43,0,46,46,24,34,0,0,0,0,0,0
2018-02-13 05:52:00,78,2,0,0,42,0,0,63,0,82,32,11,0,23,49,0,0,0,0,0,0,0
2018-02-13 06:00:00,63,5,25,0,34,14,0,0,0,27,52,10,0,0,0,0,0,77,26,0,0,0
2018-02-13 06:08:00,69,5,25,0,47,20,0,0,0,26,21,0,0,22,23,0,0,0,0,0,0,0
2018-02-13 06:16:00,72,3,0,25,60,33,0,30,0,52,31,10,0,0,23,0,0,50,0,0,0,0
2018-02-13 06:24:00,72,2,0,0,60,13,0,30,0,0,20,10,0,0,23,0,0,25,0,0,0,0
