date,bitcoin,btc,etherium,etc
2018-04-30 20:40:00,55,1,0,0
2018-04-30 20:48:00,67,0,0,16
2018-04-30 20:56:00,83,4,0,0
2018-04-30 21:04:00,43,2,0,0
2018-04-30 21:12:00,59,7,0,17
2018-04-30 21:20:00,65,1,0,0
2018-04-30 21:28:00,71,4,0,0
2018-04-30 21:36:00,65,3,0,56
2018-04-30 21:44:00,60,0,0,0
2018-04-30 21:52:00,68,0,20,0
2018-04-30 22:00:00,63,4,0,20
2018-04-30 22:08:00,59,1,0,41
2018-04-30 22:16:00,48,1,0,0
2018-04-30 22:24:00,50,1,0,21
2018-04-30 22:32:00,59,4,0,0
2018-04-30 22:40:00,80,8,0,0
2018-04-30 22:48:00,88,3,0,0
2018-04-30 22:56:00,62,2,44,0
2018-04-30 23:04:00,66,3,0,0
2018-04-30 23:12:00,83,0,0,0
2018-04-30 23:20:00,65,3,0,0
2018-04-30 23:28:00,47,3,0,46
2018-04-30 23:36:00,45,6,0,0
2018-04-30 23:44:00,67,2,0,0
2018-04-30 23:52:00,56,3,0,23
2018-05-01 00:00:00,79,3,0,0
2018-05-01 00:00:00,90,4,0,0
2018-05-01 00:08:00,79,0,0,0
2018-05-01 00:16:00,71,0,0,30
2018-05-01 00:24:00,48,2,0,89
2018-05-01 00:32:00,58,6,0,0
2018-05-01 00:40:00,70,4,0,0
2018-05-01 00:48:00,82,11,29,29
2018-05-01 00:56:00,86,6,0,0
2018-05-01 01:04:00,80,6,0,0
2018-05-01 01:12:00,70,6,0,0
2018-05-01 01:20:00,73,2,0,0
2018-05-01 01:28:00,52,0,0,59
2018-05-01 01:36:00,63,0,0,0
2018-05-01 01:44:00,78,2,0,29
2018-05-01 01:52:00,55,0,0,0
2018-05-01 02:00:00,66,4,0,30
2018-05-01 02:08:00,74,4,0,30
2018-05-01 02:16:00,87,6,0,0
2018-05-01 02:24:00,72,8,0,90
2018-05-01 02:32:00,90,4,0,0
2018-05-01 02:40:00,78,4,0,0
2018-05-01 02:48:00,86,8,0,0
2018-05-01 02:56:00,78,2,0,0
2018-05-01 03:04:00,57,10,0,0
2018-05-01 03:12:00,82,6,0,0
2018-05-01 03:20:00,94,6,0,0
2018-05-01 03:28:00,100,4,32,32
2018-05-01 03:36:00,94,2,0,0
2018-05-01 03:44:00,71,4,0,0
2018-05-01 03:52:00,78,6,0,33
2018-05-01 04:00:00,80,0,0,33
2018-05-01 04:08:00,83,4,0,33
2018-05-01 04:16:00,79,2,0,33
2018-05-01 04:24:00,85,4,0,0
2018-05-01 04:32:00,49,9,0,0
2018-05-01 04:40:00,96,2,0,0
2018-05-01 04:48:00,80,4,0,0
2018-05-01 04:56:00,63,2,0,0
2018-05-01 05:04:00,77,2,0,0
2018-05-01 05:12:00,87,2,0,0
2018-05-01 05:20:00,91,4,0,33
2018-05-01 05:28:00,76,0,0,0
2018-05-01 05:36:00,58,4,32,32
2018-05-01 05:44:00,58,4,0,32
2018-05-01 05:52:00,66,8,0,0
2018-05-01 06:00:00,75,6,30,31
2018-05-01 06:08:00,61,2,0,0
2018-05-01 06:16:00,54,2,0,0
2018-05-01 06:24:00,89,2,0,29
2018-05-01 06:32:00,49,4,0,0
2018-05-01 06:40:00,70,5,0,0
2018-05-01 06:48:00,53,2,0,0
2018-05-01 06:56:00,57,7,0,27
2018-05-01 07:04:00,68,3,0,27
2018-05-01 07:12:00,37,2,27,27
2018-05-01 07:20:00,72,5,0,0
2018-05-01 07:28:00,81,8,0,0
2018-05-01 07:36:00,66,5,0,26
2018-05-01 07:44:00,71,2,0,0
2018-05-01 07:52:00,59,0,0,26
2018-05-01 08:00:00,67,5,0,26
2018-05-01 08:08:00,44,2,0,26
2018-05-01 08:16:00,51,0,0,51
2018-05-01 08:24:00,59,8,0,0
2018-05-01 08:32:00,64,3,25,0
2018-05-01 08:40:00,60,0,0,0
2018-05-01 08:48:00,63,0,0,50
2018-05-01 08:56:00,66,2,0,0
2018-05-01 09:04:00,52,2,0,100
2018-05-01 09:12:00,62,8,0,25
2018-05-01 09:20:00,53,3,0,0
2018-05-01 09:28:00,55,2,24,0
2018-05-01 09:36:00,60,2,0,24
2018-05-01 09:44:00,47,3,0,0
2018-05-01 09:52:00,67,11,0,24
2018-05-01 10:00:00,59,0,0,0
2018-05-01 10:08:00,66,0,0,49
2018-05-01 10:16:00,80,0,0,0
2018-05-01 10:24:00,64,3,0,24
2018-05-01 10:32:00,63,3,0,24
2018-05-01 10:40:00,60,1,0,0
2018-05-01 10:48:00,59,4,0,0
2018-05-01 10:56:00,59,3,0,0
2018-05-01 11:04:00,58,3,23,0
2018-05-01 11:12:00,54,1,0,0
2018-05-01 11:20:00,60,3,0,0
2018-05-01 11:28:00,75,1,0,65
2018-05-01 11:36:00,54,4,21,65
2018-05-01 11:44:00,82,7,0,21
2018-05-01 11:52:00,73,3,21,21
2018-05-01 12:00:00,65,1,0,21
2018-05-01 12:08:00,72,3,0,0
2018-05-01 12:16:00,53,3,0,40
2018-05-01 12:24:00,73,11,0,40
2018-05-01 12:32:00,83,1,0,0
2018-05-01 12:40:00,74,5,0,0
2018-05-01 12:48:00,71,1,0,19
2018-05-01 12:56:00,67,4,0,19
2018-05-01 13:04:00,63,5,0,19
2018-05-01 13:12:00,61,2,0,0
2018-05-01 13:20:00,63,2,18,36
2018-05-01 13:28:00,72,0,0,20
2018-05-01 13:36:00,65,9,0,0
2018-05-01 13:44:00,60,0,0,0
2018-05-01 13:52:00,79,2,0,0
2018-05-01 14:00:00,68,6,0,18
2018-05-01 14:08:00,83,3,0,70
2018-05-01 14:16:00,63,2,0,35
2018-05-01 14:24:00,90,2,0,0
2018-05-01 14:32:00,68,3,0,18
2018-05-01 14:40:00,63,1,0,0
2018-05-01 14:48:00,75,2,0,0
2018-05-01 14:56:00,72,1,0,0
2018-05-01 15:04:00,65,7,0,0
2018-05-01 15:12:00,75,6,0,53
2018-05-01 15:20:00,67,3,0,35
2018-05-01 15:28:00,59,1,0,0
2018-05-01 15:36:00,70,6,0,35
2018-05-01 15:44:00,75,0,17,18
